Id,Squarefoot,Bathrooms,Bedrooms,SalePrice
1461,11622,1,2,169277.0525
1462,14267,2,3,187758.394
1463,13830,3,3,183583.6836
1464,9978,3,3,179317.4775
1465,5005,2,2,150730.08
1466,10000,3,3,177150.9892
1467,7980,3,3,172070.6592
1468,8402,3,3,175110.9565
1469,10176,3,2,162011.6988
1470,8400,2,2,160726.2478
1471,5858,3,2,157933.2795
1472,1680,2,2,145291.245
1473,1680,2,3,159672.0176
1474,2280,3,3,164167.5183
1475,2280,1,2,150891.6382
1476,12858,3,3,179460.9652
1477,12883,2,3,185034.6289
1478,11520,2,3,182352.1926
1479,14122,2,3,183053.4582
1480,14300,4,3,187823.3393
1481,13650,4,3,186544.1143
1482,7132,2,2,158230.7752
1483,18494,2,3,190552.8293
1484,3203,2,2,147183.6749
1485,13300,4,3,185855.3009
1486,8577,3,3,174350.4707
1487,17433,3,4,201740.6207
1488,8987,2,2,162986.3789
1489,9215,2,2,162330.1991
1490,10440,3,2,165845.9386
1491,11920,3,3,180929.6229
1492,9800,1,2,163481.5015
1493,15410,3,3,187798.0767
1494,13143,4,4,198822.1989
1495,11134,4,4,194868.4099
1496,4835,3,2,152605.2986
1497,3515,3,2,147797.7028
1498,3215,3,2,150521.969
1499,2544,4,2,146991.6302
1500,2544,4,2,150306.3078
1501,2980,4,2,151164.3725
1502,2403,3,2,151133.707
1503,12853,3,1,156214.0425
1504,7379,4,3,171992.7607
1505,8000,3,3,173214.9125
1506,10456,3,4,192429.1873
1507,10791,4,4,190878.6951
1508,18837,4,3,194542.5441
1509,9600,3,4,191849.4391
1510,9600,3,3,176363.7739
1511,9900,2,3,176954.1854
1512,9680,3,3,176521.217
1513,10600,2,3,179436.7048
1514,13260,4,6,220079.7568
1515,9724,2,3,175502.9181
1516,17360,2,3,188321.0738
1517,11380,2,2,163276.3245
1518,8267,2,4,185911.3663
1519,8197,3,3,171392.831
1520,8050,2,3,174418.207
1521,10725,1,3,179682.7096
1522,10032,3,3,179423.7516
1523,8382,1,3,171756.9181
1524,10950,2,2,166849.6382
1525,10895,1,3,181122.1687
1526,13587,2,2,170934.4627
1527,7898,2,2,159738.2926
1528,8064,2,3,174445.7596
1529,7635,2,3,174706.3637
1530,9760,2,2,164507.6725
1531,4800,2,3,163602.5122
1532,4485,2,2,154126.2702
1533,5805,3,3,171104.8535
1534,6900,1,3,167735.3927
1535,11851,1,3,183003.6133
1536,8239,1,3,172580.3812
1537,9656,1,2,165407.8891
1538,9600,2,3,176363.7739
1539,9000,3,3,175182.9509
1540,9045,2,4,190757.1778
1541,10560,2,2,167186.9958
1542,5830,2,3,167839.3768
1543,7793,2,3,173912.4212
1544,5000,2,2,154034.9174
1545,6000,2,2,156002.9558
1546,6000,3,3,168173.9433
1547,6360,2,3,168882.4371
